date,event_type,pv,uv
20190122,reg_input_success,52,42
20190123,$pageview,6309,1799
20190123,reg_input_success,70,58
20190124,$pageview,5947,1633
20190124,reg_input_success,59,46
20190125,$pageview,6356,1587
20190125,reg_input_success,85,73
20190126,$pageview,3022,625
20190126,reg_input_success,20,17
20190127,$pageview,2832,604
20190127,reg_input_success,22,16
20190128,$pageview,7044,1642
20190128,reg_input_success,77,63
20190129,$pageview,7406,1441
20190129,reg_input_success,76,65
20190130,$pageview,6072,1405
20190130,reg_input_success,56,52
20190131,$pageview,5404,1395
20190131,reg_input_success,60,45
20190201,$pageview,6040,1236
20190201,reg_input_success,38,32
20190202,$pageview,2061,566
20190202,reg_input_success,10,8
20190203,$pageview,1079,487
20190203,reg_input_success,4,4
20190204,$pageview,869,437
20190204,reg_input_success,1,1
20190205,$pageview,978,439
20190205,reg_input_success,4,3
20190206,$pageview,1200,480
20190206,reg_input_success,2,2
20190207,$pageview,1745,466
20190207,reg_input_success,7,5
20190208,$pageview,1773,466
20190208,reg_input_success,4,3
20190209,$pageview,1856,495
20190209,reg_input_success,9,6
20190210,$pageview,1449,516
20190210,reg_input_success,7,6
20190211,$pageview,5295,1629
20190211,reg_input_success,62,53
20190212,$pageview,6395,1887
20190212,reg_input_success,58,53
20190213,$pageview,6706,1840
20190213,reg_input_success,62,56
20190214,$pageview,6864,1833
20190214,reg_input_success,43,38
20190215,$pageview,7492,1762
20190215,reg_input_success,55,49
20190216,$pageview,3000,828
20190216,reg_input_success,23,19
20190217,$pageview,3021,833
20190217,reg_input_success,13,10
20190218,$pageview,7562,1803
20190218,reg_input_success,72,56
20190219,$pageview,7316,1877
20190219,reg_input_success,70,59
20190220,$pageview,8738,2175
20190220,reg_input_success,73,62
20190221,$pageview,8750,2442
20190221,reg_input_success,74,61
20190222,$pageview,7601,2213
20190222,reg_input_success,70,58
20190223,$pageview,3143,766
20190223,reg_input_success,23,19
20190224,$pageview,2916,754
20190224,reg_input_success,19,16
20190225,$pageview,7451,2224
20190225,reg_input_success,75,64
20190226,$pageview,7682,2361
20190226,reg_input_success,75,60
20190227,$pageview,7070,2065
20190227,reg_input_success,72,61
20190228,$pageview,6428,1807
20190228,reg_input_success,64,55
20190301,$pageview,9296,2793
20190301,reg_input_success,86,73
20190302,$pageview,5086,1300
20190302,reg_input_success,51,44
20190303,$pageview,3448,1041
20190303,reg_input_success,31,25
20190304,$pageview,9845,2406
20190304,reg_input_success,93,85
20190305,$pageview,8473,2337
20190305,reg_input_success,75,71
20190306,$pageview,8974,2649
20190306,reg_input_success,84,72
20190307,$pageview,10188,2457
20190307,reg_input_success,97,76
20190308,$pageview,8117,2200
20190308,reg_input_success,84,68
20190309,$pageview,3117,925
20190309,reg_input_success,19,16
20190310,$pageview,2426,752
20190310,reg_input_success,18,17
20190311,$pageview,8432,2234
20190311,reg_input_success,73,62
20190312,$pageview,8176,2224
20190312,reg_input_success,75,66
20190313,$pageview,8539,2220
20190313,reg_input_success,104,89
20190314,$pageview,8540,2193
20190314,reg_input_success,91,77
20190315,$pageview,8523,2247
20190315,reg_input_success,90,79
20190316,$pageview,2839,1056
20190316,reg_input_success,21,19
20190317,$pageview,2580,736
20190317,reg_input_success,21,18
20190318,$pageview,8827,2348
20190318,reg_input_success,87,68
20190319,$pageview,9380,2150
20190319,reg_input_success,95,83
20190320,$pageview,10427,2800
20190320,reg_input_success,110,99
20190321,$pageview,9391,2603
20190321,reg_input_success,75,65
20190322,$pageview,9523,2469
20190322,reg_input_success,109,96
20190323,$pageview,4220,1411
20190323,reg_input_success,25,23
20190324,$pageview,4299,1250
20190324,reg_input_success,30,26
20190325,$pageview,10365,3163
20190325,reg_input_success,104,94
20190326,$pageview,9904,2632
20190326,reg_input_success,88,73
20190327,$pageview,10746,2670
20190327,reg_input_success,115,102
20190328,$pageview,11566,2674
20190328,reg_input_success,134,113
20190329,$pageview,10243,2636
20190329,reg_input_success,113,95
20190330,$pageview,4757,1230
20190330,reg_input_success,41,38
20190331,$pageview,4114,1269
20190331,reg_input_success,28,23
20190401,$pageview,11572,2825
20190401,reg_input_success,132,113
20190402,$pageview,12002,2994
20190402,reg_input_success,131,119
20190403,$pageview,11880,3043
20190403,reg_input_success,105,96
20190404,$pageview,10714,2767
20190404,reg_input_success,131,110
20190405,$pageview,4774,1606
20190405,reg_input_success,32,27
20190406,$pageview,3674,1231
20190406,reg_input_success,24,21
20190407,$pageview,4321,1380
20190407,reg_input_success,37,31
20190408,$pageview,12746,3507
20190408,reg_input_success,119,106
20190409,$pageview,17106,3881
20190409,reg_input_success,156,137
20190410,$pageview,14077,1784
20190410,reg_input_success,118,103
20190411,$pageview,15854,4493
20190411,reg_input_success,188,169
20190412,$pageview,11666,3514
20190412,reg_input_success,105,94
20190413,$pageview,6939,2349
20190413,reg_input_success,52,49
20190414,$pageview,6962,2338
20190414,reg_input_success,53,49
20190415,$pageview,12633,3797
20190415,reg_input_success,136,116
20190416,$pageview,12841,3668
20190416,reg_input_success,131,119
20190417,$pageview,13719,3889
20190417,reg_input_success,147,128
20190418,$pageview,11593,3542
20190418,reg_input_success,108,93
20190419,$pageview,9115,2408
20190419,reg_input_success,132,86
20190420,$pageview,6154,2483
20190420,reg_input_success,44,44
20190421,$pageview,6023,2283
20190421,reg_input_success,45,45
20190422,$pageview,13332,3916
20190422,reg_input_success,122,122
20190423,$pageview,13211,4324
20190423,reg_input_success,83,83
20190424,$pageview,11135,3155
20190424,reg_input_success,100,87
20190425,$pageview,10652,2934
20190425,reg_input_success,115,102
20190426,$pageview,9036,2616
20190426,reg_input_success,86,74
20190427,$pageview,3142,1177
20190427,reg_input_success,2,2
20190428,$pageview,9779,2564
20190428,reg_input_success,113,91
20190429,$pageview,10272,2711
20190429,reg_input_success,124,104
20190430,$pageview,10657,2308
20190430,reg_input_success,56,54
20190501,$pageview,5342,1231
20190501,reg_input_success,17,16
20190502,$pageview,6262,1559
20190502,reg_input_success,28,26
20190503,$pageview,6460,1629
20190503,reg_input_success,22,20
20190504,$pageview,5819,1031
20190504,reg_input_success,15,14
20190505,$pageview,15628,3257
20190505,reg_input_success,92,89
20190506,$pageview,15574,3816
20190506,reg_input_success,101,97
20190507,$pageview,16658,3743
20190507,reg_input_success,124,121
20190508,$pageview,14158,3469
20190508,reg_input_success,118,114
20190509,$pageview,12468,3202
20190509,reg_input_success,110,106
20190510,$pageview,12049,2497
20190510,reg_input_success,76,75
20190511,$pageview,6380,1561
20190511,reg_input_success,29,28
20190512,$pageview,4457,1527
20190512,reg_input_success,24,24
20190513,$pageview,9829,2694
20190513,reg_input_success,106,100
20190514,$pageview,11437,2959
20190514,reg_input_success,91,89
20190515,$pageview,12812,3492
20190515,reg_input_success,85,84
20190516,$pageview,14656,3623
20190516,reg_input_success,102,98
20190517,$pageview,13404,3383
20190517,reg_input_success,75,75
20190518,$pageview,9523,2811
20190518,reg_input_success,51,49
20190519,$pageview,7936,2736
20190519,reg_input_success,47,46
20190520,$pageview,14793,4124
20190520,reg_input_success,120,114
20190521,$pageview,12719,3738
20190521,reg_input_success,96,92
20190522,$pageview,10418,3111
20190522,reg_input_success,87,82
20190523,$pageview,14205,4065
20190523,reg_input_success,90,90
20190524,$pageview,13055,3563
20190524,reg_input_success,84,80
20190525,$pageview,7433,2613
20190525,reg_input_success,39,39
20190526,$pageview,9392,2678
20190526,reg_input_success,35,34
20190527,$pageview,14634,3967
20190527,reg_input_success,92,88
20190528,$pageview,14440,4026
20190528,reg_input_success,103,102
20190529,$pageview,13044,3731
20190529,reg_input_success,107,105
20190530,$pageview,13755,4080
20190530,reg_input_success,106,105
20190531,$pageview,11268,3298
20190531,reg_input_success,70,70
20190601,$pageview,7567,2573
20190601,reg_input_success,31,30
20190602,$pageview,7112,2549
20190602,reg_input_success,31,31
20190603,$pageview,15101,3907
20190603,reg_input_success,97,97
20190604,$pageview,14504,3873
20190604,reg_input_success,89,88
20190605,$pageview,17410,3980
20190605,reg_input_success,88,87
20190606,$pageview,9989,2713
20190606,reg_input_success,86,86
20190607,$pageview,3750,1422
20190607,reg_input_success,23,23
20190608,$pageview,4153,1533
20190608,reg_input_success,20,20
20190609,$pageview,5696,1693
20190609,reg_input_success,38,38
20190610,$pageview,13903,4206
20190610,reg_input_success,85,85
20190611,$pageview,16047,4777
20190611,reg_input_success,116,116
20190612,$pageview,19384,4993
20190612,reg_input_success,107,107
20190613,$pageview,16878,5381
20190613,reg_input_success,105,105
20190614,$pageview,16614,5004
20190614,reg_input_success,112,112
20190615,$pageview,8923,3316
20190615,reg_input_success,42,42
20190616,$pageview,9143,3342
20190616,reg_input_success,45,45
20190617,$pageview,34651,6407
20190617,reg_input_success,110,110
20190618,$pageview,41876,6735
20190618,reg_input_success,115,115
20190619,$pageview,29928,5574
20190619,reg_input_success,95,95
20190620,$pageview,29218,4910
20190620,reg_input_success,121,121
20190621,$pageview,20824,3988
20190621,reg_input_success,94,94
20190622,$pageview,10112,2360
20190622,reg_input_success,24,24
20190623,$pageview,10396,2431
20190623,reg_input_success,12,12
20190624,$pageview,40734,5702
20190624,reg_input_success,82,82
20190625,$pageview,32761,5116
20190625,reg_input_success,113,113
20190626,$pageview,24786,4331
20190626,reg_input_success,94,94
20190627,$pageview,29531,5001
20190627,reg_input_success,92,92
20190628,$pageview,20293,3757
20190628,reg_input_success,83,83
20190629,$pageview,12468,2589
20190629,reg_input_success,34,34
20190630,$pageview,15108,2685
20190630,reg_input_success,35,35
20190701,$pageview,27144,4641
20190701,reg_input_success,93,93
20190702,$pageview,23511,4276
20190702,reg_input_success,91,91
20190703,$pageview,26888,4398
20190703,reg_input_success,114,114
20190704,$pageview,21292,4062
20190704,reg_input_success,92,92
20190705,$pageview,20394,3679
20190705,reg_input_success,93,93
20190706,$pageview,12769,2687
20190706,reg_input_success,46,46
20190707,$pageview,12296,2661
20190707,reg_input_success,36,36
20190708,$pageview,21427,4011
20190708,reg_input_success,109,108
20190709,$pageview,23494,4229
20190709,reg_input_success,110,110
20190710,$pageview,21135,4061
20190710,reg_input_success,89,88
20190711,$pageview,20197,3745
20190711,reg_input_success,93,93
20190712,$pageview,17400,3153
20190712,reg_input_success,105,104
20190713,$pageview,10005,2026
20190713,reg_input_success,41,41
20190714,$pageview,15475,3069
20190714,reg_input_success,51,51
20190715,$pageview,24018,4708
20190715,reg_input_success,117,117
20190716,$pageview,26124,5140
20190716,reg_input_success,142,142
20190717,$pageview,20922,6011
20190717,reg_input_success,174,173
20190718,$pageview,20475,6469
20190718,reg_input_success,162,162
20190719,$pageview,16298,4578
20190719,reg_input_success,125,125
20190720,$pageview,8100,2892
20190720,reg_input_success,43,43
20190721,$pageview,9851,3179
20190721,reg_input_success,40,40
20190722,$pageview,19304,5160
20190722,reg_input_success,145,145
20190723,$pageview,18833,5179
20190723,reg_input_success,134,134
20190724,$pageview,17541,5155
20190724,reg_input_success,132,132
20190725,$pageview,18317,5230
20190725,reg_input_success,139,139
20190726,$pageview,16710,4481
20190726,reg_input_success,108,106
20190727,$pageview,10230,3004
20190727,reg_input_success,27,27
20190728,$pageview,11070,3131
20190728,reg_input_success,35,35
20190729,$pageview,20310,5972
20190729,reg_input_success,131,131
20190730,$pageview,17151,5786
20190730,reg_input_success,113,113
20190731,$pageview,27853,14029
20190731,reg_input_success,209,209
20190801,$pageview,16765,6025
20190801,reg_input_success,109,109
20190802,$pageview,11020,3581
20190802,reg_input_success,75,75
20190803,$pageview,6873,2006
20190803,reg_input_success,22,22
20190804,$pageview,5697,1887
20190804,reg_input_success,18,17
20190805,$pageview,12786,4090
20190805,reg_input_success,96,96
20190806,$pageview,13104,4357
20190806,reg_input_success,108,108
20190807,$pageview,15082,4786
20190807,reg_input_success,115,115
20190808,$pageview,14767,4711
20190808,reg_input_success,128,128
20190809,$pageview,14190,4420
20190809,reg_input_success,108,108
20190810,$pageview,6435,1950
20190810,reg_input_success,18,18
20190811,$pageview,6235,1908
20190811,reg_input_success,16,16
20190812,$pageview,16405,4443
20190812,reg_input_success,98,97
20190813,$pageview,14082,4271
20190813,reg_input_success,100,100
20190814,$pageview,13964,4168
20190814,reg_input_success,119,119
20190815,$pageview,14492,4119
20190815,reg_input_success,115,114
20190816,$pageview,13053,4183
20190816,reg_input_success,181,181
20190817,$pageview,4421,1750
20190817,reg_input_success,25,25
20190818,$pageview,4544,1730
20190818,reg_input_success,22,22
20190819,$pageview,11461,3847
20190819,reg_input_success,85,85
20190820,$pageview,11189,3878
20190820,reg_input_success,111,111
20190821,$pageview,12198,4087
20190821,reg_input_success,113,113
20190822,$pageview,12191,4000
20190822,reg_input_success,100,100
20190823,$pageview,10811,3656
20190823,reg_input_success,91,91
20190824,$pageview,4457,1739
20190824,reg_input_success,27,27
20190825,$pageview,4540,1846
20190825,reg_input_success,69,69
